"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
84;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten5";"min";"NA";"String";"inv5min";NA
85;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten5";"max";"NA";"String";"inv5max";NA
86;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten5";"üblich";"NA";"String";"inv5ueblich";NA
87;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten1";"Einheit";"NA";"String";"bet1e";NA
88;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten1";"min";"NA";"String";"bet1min";NA
89;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten1";"max";"NA";"String";"bet1max";NA
90;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten1";"üblich";"NA";"String";"bet1ueblich";NA
91;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten2";"Einheit";"NA";"String";"bet2e";NA
92;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten2";"min";"NA";"String";"bet2min";NA
93;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten2";"max";"NA";"String";"bet2max";NA
94;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten2";"üblich";"NA";"String";"bet2ueblich";NA
95;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten3";"Einheit";"NA";"String";"bet3e";NA
96;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten3";"min";"NA";"String";"bet3min";NA
97;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten3";"max";"NA";"String";"bet3max";NA
98;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten3";"üblich";"NA";"String";"bet3ueblich";NA
99;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten4";"Einheit";"NA";"String";"bet4e";NA
100;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten4";"min";"NA";"String";"bet4min";NA
101;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten4";"max";"NA";"String";"bet4max";NA
102;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten4";"üblich";"NA";"String";"bet4ueblich";NA
103;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten5";"Einheit";"NA";"String";"bet5e";NA
104;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten5";"min";"NA";"String";"bet5min";NA
105;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten5";"max";"NA";"String";"bet5max";NA
106;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Betriebskosten5";"üblich";"NA";"String";"bet5ueblich";NA
107;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Fließtext";"NA";"NA";"String";"whinwtxt";NA
108;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";"fließtext + freie Anzahl an Zeilen mit Paramterspalte und Wertespalte"
109;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
110;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
111;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
112;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
113;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
114;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
115;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
116;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
117;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
118;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
119;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
120;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
121;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
122;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
123;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
124;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
125;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
126;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
127;"ID";"N_001_Fassadenbegrünung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
128;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Synergien";"Niederschlagswasser";"NA";"String";"synniederschlagswasser";NA
129;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Synergien";"Schmutzwasser";"NA";"String";"synschmutzwasser";NA
130;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Synergien";"Baustoffe";"NA";"String";"synbaustoffe";NA
131;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Synergien";"Energie";"NA";"String";"sysnenergie";NA
132;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Synergien";"Fläche";"NA";"String";"synflaeche";NA
133;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Synergien";"Ökobilanz";"NA";"String";"synoekobilanz";NA
134;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Niederschlagswasser";"NA";"String";"konfniederschlagswasser";NA
135;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Schmutzwasser";"NA";"String";"konfschmutzwasser";NA
136;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Baustoffe";"NA";"String";"konfbaustoffe";NA
137;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Energie";"NA";"String";"konfenergie";NA
138;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Fläche";"NA";"String";"konfflaeche";NA
139;"ID";"N_001_Fassadenbegrünung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Ökobilanz";"NA";"String";"konfoekobilanz";NA
140;"ID";"N_001_Fassadenbegrünung";"Kombinationsmöglichkeiten";"1";"NA";"NA";"String";"selkombi1";NA
141;"ID";"N_001_Fassadenbegrünung";"Kombinationsmöglichkeiten";"2";"NA";"NA";"String";"selkombi2";NA
142;"ID";"N_001_Fassadenbegrünung";"Kombinationsmöglichkeiten";"3";"NA";"NA";"String";"selkombi3";NA
143;"ID";"N_001_Fassadenbegrünung";"Kombinationsmöglichkeiten";"4";"NA";"NA";"String";"selkombi4";NA
144;"ID";"N_001_Fassadenbegrünung";"Kombinationsmöglichkeiten";"5";"NA";"NA";"String";"selkombi5";NA
145;"ID";"N_001_Fassadenbegrünung";"Kombinationsmöglichkeiten";"6";"NA";"NA";"String";"selkombi6";NA
146;"ID";"N_001_Fassadenbegrünung";"Kombinationsmöglichkeiten";"7";"NA";"NA";"String";"selkombi7";NA
147;"ID";"N_001_Fassadenbegrünung";"Kombinationsmöglichkeiten";"8";"NA";"NA";"String";"selkombi8";NA
148;"ID";"N_001_Fassadenbegrünung";"Kombinationsmöglichkeiten";"9";"NA";"NA";"String";"selkombi9";NA
149;"ID";"N_001_Fassadenbegrünung";"Kombinationsmöglichkeiten";"10";"NA";"NA";"String";"selkombi10";NA
150;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Vorteile";"1";"NA";"String";"vornach";NA
151;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Vorteile";"2";"NA";"String";"vornach";NA
152;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Vorteile";"3";"NA";"String";"vornach";NA
153;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Vorteile";"4";"NA";"String";"vornach";NA
154;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Vorteile";"5";"NA";"String";"vornach";NA
155;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Vorteile";"6";"NA";"String";"vornach";NA
156;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Vorteile";"7";"NA";"String";"vornach";NA
157;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Vorteile";"8";"NA";"String";"vornach";NA
158;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Vorteile";"9";"NA";"String";"vornach";NA
159;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Vorteile";"10";"NA";"String";"vornach";NA
160;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Nachteile";"1";"NA";"String";"vornach";NA
161;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Nachteile";"2";"NA";"String";"vornach";NA
162;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Nachteile";"3";"NA";"String";"vornach";NA
163;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Nachteile";"4";"NA";"String";"vornach";NA
164;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Nachteile";"5";"NA";"String";"vornach";NA
