"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
120;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Vorteile";"1";"NA";"String";"vornach";NA
121;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Vorteile";"2";"NA";"String";"vornach";NA
122;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Vorteile";"3";"NA";"String";"vornach";NA
123;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Vorteile";"4";"NA";"String";"vornach";NA
124;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Vorteile";"5";"NA";"String";"vornach";NA
125;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Vorteile";"6";"NA";"String";"vornach";NA
126;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Vorteile";"7";"NA";"String";"vornach";NA
127;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Vorteile";"8";"NA";"String";"vornach";NA
128;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Vorteile";"9";"NA";"String";"vornach";NA
129;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Vorteile";"10";"NA";"String";"vornach";NA
130;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Nachteile";"1";"NA";"String";"vornach";NA
131;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Nachteile";"2";"NA";"String";"vornach";NA
132;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Nachteile";"3";"NA";"String";"vornach";NA
133;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Nachteile";"4";"NA";"String";"vornach";NA
134;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Nachteile";"5";"NA";"String";"vornach";NA
135;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Nachteile";"6";"NA";"String";"vornach";NA
136;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Nachteile";"7";"NA";"String";"vornach";NA
137;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Nachteile";"8";"NA";"String";"vornach";NA
138;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Nachteile";"9";"NA";"String";"vornach";NA
139;"ID";"N_018_Retentionsbodenfilter";"Vor- und Nachteile";"Nachteile";"10";"NA";"String";"vornach";NA
140;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"1";"Projektname";"NA";"String";"fallbsp";NA
141;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"1";"Stadt";"NA";"String";"fallbsp";NA
142;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"1";"Land";"NA";"String";"fallbsp";NA
143;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"1";"Erläuterung";"NA";"String";"fallbsp";NA
144;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"2";"Projektname";"NA";"String";"fallbsp";NA
145;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"2";"Stadt";"NA";"String";"fallbsp";NA
146;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"2";"Land";"NA";"String";"fallbsp";NA
147;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"2";"Erläuterung";"NA";"String";"fallbsp";NA
148;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"3";"Projektname";"NA";"String";"fallbsp";NA
149;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"3";"Stadt";"NA";"String";"fallbsp";NA
150;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"3";"Land";"NA";"String";"fallbsp";NA
151;"ID";"N_018_Retentionsbodenfilter";"Fallbeispiele";"3";"Erläuterung";"NA";"String";"fallbsp";NA
152;"ID";"N_018_Retentionsbodenfilter";"Literatur";"Struktur noch unklar";"Struktur noch unklar";"NA";"String";"noch in arbeit";NA
