"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
84;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
85;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
86;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
87;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
88;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
89;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
90;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
91;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
92;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
93;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
94;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
95;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
96;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
97;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
98;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Synergien";"Niederschlagswasser";"NA";"String";"synniederschlagswasser";NA
99;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Synergien";"Schmutzwasser";"NA";"String";"synschmutzwasser";NA
100;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Synergien";"Baustoffe";"NA";"String";"synbaustoffe";NA
101;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Synergien";"Energie";"NA";"String";"sysnenergie";NA
102;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Synergien";"Fläche";"NA";"String";"synflaeche";NA
103;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Synergien";"Ökobilanz";"NA";"String";"synoekobilanz";NA
104;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Niederschlagswasser";"NA";"String";"konfniederschlagswasser";NA
